size,condition,trial,subject,correct,RT
1,easy,15,8,0,343.539
1,easy,15,9,1,595.476
1,easy,15,10,1,269.64
1,easy,16,1,1,690.105
1,easy,16,2,1,192.471
1,easy,16,3,1,252.567
1,easy,16,4,1,218.727
1,easy,16,5,0,401.192
1,easy,16,6,0,322.001
1,easy,16,7,1,476.183
1,easy,16,8,0,274.657
1,easy,16,9,1,678.732
1,easy,16,10,1,316.302
1,easy,17,1,1,506.823
1,easy,17,2,1,209.158
1,easy,17,3,0,318.993
1,easy,17,4,1,178.375
1,easy,17,5,1,303.673
1,easy,17,6,1,285.379
1,easy,17,7,1,490.319
1,easy,17,8,0,300.707
1,easy,17,9,1,718.621
1,easy,17,10,0,347.94
1,easy,18,1,1,595.507
1,easy,18,2,0,259.588
1,easy,18,3,1,287.493
1,easy,18,4,1,210.865
1,easy,18,5,0,277.14
1,easy,18,6,0,428.013
1,easy,18,7,0,570.118
1,easy,18,8,1,287.696
1,easy,18,9,1,624.489
1,easy,18,10,0,321.443
1,easy,19,1,1,551.24
1,easy,19,2,1,208.785
1,easy,19,3,0,338.212
1,easy,19,4,0,270.357
1,easy,19,5,0,390.762
1,easy,19,6,0,384.144
1,easy,19,7,1,623.49
1,easy,19,8,0,377.685
1,easy,19,9,1,747.92
1,easy,19,10,0,337.018
1,easy,20,1,1,556.536
1,easy,20,2,0,268.822
1,easy,20,3,0,358.99
1,easy,20,4,1,209.509
1,easy,20,5,1,272.986
1,easy,20,6,0,364.156
1,easy,20,7,1,598.312
1,easy,20,8,0,377.589
1,easy,20,9,1,651.183
1,easy,20,10,1,283.184
1,easy,21,1,1,447.954
1,easy,21,2,0,216.145
1,easy,21,3,1,331.31
1,easy,21,4,0,243.516
1,easy,21,5,1,224.277
1,easy,21,6,0,505.633
1,easy,21,7,1,500.364
1,easy,21,8,0,390.639
1,easy,21,9,1,613.431
1,easy,21,10,0,271.939
1,easy,22,1,1,531.354
1,easy,22,2,0,251.841
1,easy,22,3,0,348.162
1,easy,22,4,0,269.396
1,easy,22,5,1,259.985
1,easy,22,6,1,282.8
1,easy,22,7,1,562.244
1,easy,22,8,0,335.132
1,easy,22,9,1,602.901
1,easy,22,10,0,372.456
1,easy,23,1,1,541.974
1,easy,23,2,0,230.202
1,easy,23,3,0,350.111
1,easy,23,4,1,198.028
1,easy,23,5,0,354.049
1,easy,23,6,0,399.294
1,easy,23,7,1,549.564
1,easy,23,8,0,323.097
1,easy,23,9,1,717.25
1,easy,23,10,1,328.076
1,easy,24,1,1,540.907
1,easy,24,2,0,216.962
1,easy,24,3,0,341.162
1,easy,24,4,1,225.957
1,easy,24,5,0,317.62
1,easy,24,6,0,371.974
1,easy,24,7,1,593.258
1,easy,24,8,0,319.953
1,easy,24,9,1,573.163
1,easy,24,10,1,273.775
1,easy,25,1,1,645.292
1,easy,25,2,0,244.089
1,easy,25,3,1,323.22
1,easy,25,4,0,225.647
1,easy,25,5,0,348.688
1,easy,25,6,0,368.767
1,easy,25,7,1,507.473
1,easy,25,8,0,363.29
1,easy,25,9,1,775.581
1,easy,25,10,0,323.474
1,easy,26,1,1,589.408
1,easy,26,2,0,224.364
1,easy,26,3,0,357.782
1,easy,26,4,0,251.617
1,easy,26,5,1,275.789
1,easy,26,6,0,399.661
1,easy,26,7,0,602.739
1,easy,26,8,0,361.831
1,easy,26,9,0,772.415
1,easy,26,10,1,256.746
1,easy,27,1,1,546.88
1,easy,27,2,0,249.661
1,easy,27,3,1,292.724
1,easy,27,4,0,228.582
1,easy,27,5,0,344.894
1,easy,27,6,0,354.926
1,easy,27,7,0,651.127
1,easy,27,8,0,332.204
1,easy,27,9,0,798.244
1,easy,27,10,1,274.084
1,easy,28,1,1,569.675
1,easy,28,2,0,234.084
1,easy,28,3,1,269.624
1,easy,28,4,1,206.819
1,easy,28,5,1,249.798
1,easy,28,6,0,310.687
1,easy,28,7,1,484.155
1,easy,28,8,0,325.334
1,easy,28,9,0,742.11
1,easy,28,10,1,314.943
1,easy,29,1,1,509.898
1,easy,29,2,0,206.979
1,easy,29,3,1,266.878
1,easy,29,4,0,289.537
1,easy,29,5,0,319.331
1,easy,29,6,0,339.087
1,easy,29,7,0,560.283
1,easy,29,8,0,354.371
1,easy,29,9,1,808.628
1,easy,29,10,0,346.438
1,easy,30,1,1,461.852
1,easy,30,2,1,194.369
1,easy,30,3,0,415.113
1,easy,30,4,1,212.523
1,easy,30,5,1,252.737
1,easy,30,6,0,422.108
1,easy,30,7,1,509.471
1,easy,30,8,0,296.053
1,easy,30,9,0,797.89
1,easy,30,10,0,340.09
1,easy,31,1,1,488.234
1,easy,31,2,0,238.086
1,easy,31,3,1,317.476
1,easy,31,4,0,229.387
1,easy,31,5,0,303.146
1,easy,31,6,1,297.615
1,easy,31,7,1,479.391
1,easy,31,8,0,265.749
1,easy,31,9,1,649.855
1,easy,31,10,0,301.645
1,easy,32,1,0,675.652
1,easy,32,2,1,165.396
1,easy,32,3,0,310.737
1,easy,32,4,0,222.808
1,easy,32,5,1,254.919
1,easy,32,6,0,353.95
1,easy,32,7,1,497.706
1,easy,32,8,0,317.655
1,easy,32,9,1,576.472
1,easy,32,10,1,297.192
1,easy,33,1,1,533.323
1,easy,33,2,0,202.505
1,easy,33,3,1,255.158
1,easy,33,4,0,245.807
1,easy,33,5,1,244.017
1,easy,33,6,1,348.392
1,easy,33,7,1,511.849
1,easy,33,8,0,332.847
1,easy,33,9,1,707.438
1,easy,33,10,0,452.819
1,easy,34,1,1,601.257
1,easy,34,2,1,192.977
1,easy,34,3,0,369.357
1,easy,34,4,1,229.548
1,easy,34,5,1,265.207
1,easy,34,6,0,324.39
1,easy,34,7,0,642.908
1,easy,34,8,0,357.518
1,easy,34,9,1,626.123
1,easy,34,10,1,271.217
1,easy,35,1,1,574.536
1,easy,35,2,0,231.63
1,easy,35,3,1,270.094
1,easy,35,4,0,235.995
1,easy,35,5,1,259.433
1,easy,35,6,0,448.037
1,easy,35,7,1,424.977
1,easy,35,8,0,345.557
1,easy,35,9,1,637.258
1,easy,35,10,0,337.058
1,easy,36,1,1,579.283
1,easy,36,2,0,213.086
1,easy,36,3,0,396.689
1,easy,36,4,0,217.641
1,easy,36,5,0,358.121
1,easy,36,6,1,277.803
1,easy,36,7,1,555.953
1,easy,36,8,0,319.813
1,easy,36,9,1,749.333
1,easy,36,10,1,314.127
1,easy,37,1,1,563.838
1,easy,37,2,0,264.694
1,easy,37,3,1,313.99
1,easy,37,4,0,267.986
1,easy,37,5,1,256.081
1,easy,37,6,0,346.235
1,easy,37,7,0,685.301
1,easy,37,8,0,425.756
1,easy,37,9,1,563.966
1,easy,37,10,1,302.718
1,easy,38,1,1,566.922
1,easy,38,2,1,189.982
1,easy,38,3,1,234.424
1,easy,38,4,0,229.41
1,easy,38,5,1,251.44
1,easy,38,6,0,397.737
1,easy,38,7,1,483.868
1,easy,38,8,0,294.174
1,easy,38,9,0,726.27
1,easy,38,10,1,292.341
1,easy,39,1,1,491.643
1,easy,39,2,1,195.244
1,easy,39,3,0,337.464
1,easy,39,4,0,304.821
1,easy,39,5,1,251.122
1,easy,39,6,0,379.811
1,easy,39,7,1,603.638
1,easy,39,8,0,315.577
1,easy,39,9,1,620.648
1,easy,39,10,1,271.407
1,easy,40,1,1,590.843
1,easy,40,2,0,257.859
1,easy,40,3,0,366.778
1,easy,40,4,0,234.856
1,easy,40,5,0,306.137
1,easy,40,6,0,334.686
1,easy,40,7,1,458.064
1,easy,40,8,0,382.875
1,easy,40,9,1,605.235
1,easy,40,10,1,263.089
1,easy,41,1,1,600.175
1,easy,41,2,0,228.971
1,easy,41,3,0,380.424
1,easy,41,4,1,199.505
1,easy,41,5,0,269.319
1,easy,41,6,0,348.114
1,easy,41,7,1,532.707
1,easy,41,8,0,252.334
1,easy,41,9,0,698.232
1,easy,41,10,1,297.796
1,easy,42,1,1,659.977
1,easy,42,2,0,231.635
1,easy,42,3,0,358.76
1,easy,42,4,1,207.114
1,easy,42,5,1,248.334
1,easy,42,6,0,385.446
1,easy,42,7,1,433.946
1,easy,42,8,0,346.554
1,easy,42,9,1,647.398
1,easy,42,10,0,365.202
1,easy,43,1,1,561.128
1,easy,43,2,0,224.075
1,easy,43,3,0,360.524
1,easy,43,4,1,214.646
1,easy,43,5,0,268.782
1,easy,43,6,1,311.788
1,easy,43,7,0,644.613
1,easy,43,8,0,367.523
1,easy,43,9,1,725.906
1,easy,43,10,1,315.954
1,easy,44,1,1,526.803
1,easy,44,2,0,227.039
1,easy,44,3,0,398.404
1,easy,44,4,1,205.143
1,easy,44,5,0,351.126
1,easy,44,6,0,316.185
1,easy,44,7,0,555.883
1,easy,44,8,0,331.925
1,easy,44,9,1,613.746
1,easy,44,10,1,260.058
1,easy,45,1,1,496.972
1,easy,45,2,0,252.952
1,easy,45,3,1,290.198
1,easy,45,4,1,184.83
1,easy,45,5,0,306.458
1,easy,45,6,0,334.886
1,easy,45,7,0,619.834
1,easy,45,8,0,379.136
1,easy,45,9,1,733.515
1,easy,45,10,1,272.571
1,easy,46,1,1,571.085
1,easy,46,2,0,221.913
1,easy,46,3,0,361.02
1,easy,46,4,1,233.962
1,easy,46,5,0,355.739
1,easy,46,6,0,305.823
1,easy,46,7,1,628.438
1,easy,46,8,0,340.29
1,easy,46,9,1,611.765
1,easy,46,10,0,452.792
1,easy,47,1,1,584.723
1,easy,47,2,0,229.033
1,easy,47,3,0,348.723
1,easy,47,4,1,189.145
1,easy,47,5,1,294.284
1,easy,47,6,0,318.283
1,easy,47,7,1,601.899
1,easy,47,8,0,312.768
1,easy,47,9,1,665.217
1,easy,47,10,0,356.022
1,easy,48,1,1,584.012
1,easy,48,2,0,274.893
1,easy,48,3,0,364.714
1,easy,48,4,1,221.694
1,easy,48,5,0,315.633
1,easy,48,6,0,447.646
1,easy,48,7,1,503.405
1,easy,48,8,0,372.35
1,easy,48,9,1,710.326
1,easy,48,10,0,389.538
1,easy,49,1,1,530.283
1,easy,49,2,0,254.922
1,easy,49,3,0,315.713
1,easy,49,4,0,267.477
1,easy,49,5,0,328.453
1,easy,49,6,0,279.214
1,easy,49,7,1,455.252
1,easy,49,8,0,364.392
1,easy,49,9,1,552.854
1,easy,49,10,0,337.237
1,easy,50,1,1,541.706
1,easy,50,2,0,225.094
1,easy,50,3,0,340.479
1,easy,50,4,0,286.768
1,easy,50,5,1,355.549
1,easy,50,6,0,349.695
1,easy,50,7,1,493.769
1,easy,50,8,0,320.987
1,easy,50,9,1,621.55
1,easy,50,10,1,271.312
1,easy,51,1,1,575.622
1,easy,51,2,0,214.761
1,easy,51,3,1,225.851
1,easy,51,4,0,244.459
1,easy,51,5,1,267.254
1,easy,51,6,0,385.287
1,easy,51,7,0,726.969
1,easy,51,8,0,327.584
1,easy,51,9,1,588.841
1,easy,51,10,1,300.071
1,easy,52,1,1,520.165
1,easy,52,2,0,227.097
1,easy,52,3,0,316.889
1,easy,52,4,1,216.904
1,easy,52,5,1,262.977
1,easy,52,6,0,358.995
1,easy,52,7,0,646.179
1,easy,52,8,0,369.349
1,easy,52,9,1,818.749
1,easy,52,10,1,346.325
1,easy,53,1,1,545.769
1,easy,53,2,0,237.705
1,easy,53,3,0,321.827
1,easy,53,4,1,215.532
1,easy,53,5,0,339.928
1,easy,53,6,0,388.585
1,easy,53,7,1,460.143
1,easy,53,8,1,276.958
1,easy,53,9,1,620.46
1,easy,53,10,0,378.569
1,easy,54,1,1,537.87
1,easy,54,2,0,241.006
1,easy,54,3,1,275.163
1,easy,54,4,1,229.887
1,easy,54,5,1,246.514
1,easy,54,6,0,405.747
1,easy,54,7,1,543.265
1,easy,54,8,0,330.997
1,easy,54,9,1,622.016
1,easy,54,10,0,313.212
1,easy,55,1,1,574.075
1,easy,55,2,0,239.652
1,easy,55,3,1,276.55
1,easy,55,4,1,218.597
1,easy,55,5,1,273.908
1,easy,55,6,0,367.765
1,easy,55,7,1,420.711
1,easy,55,8,0,305.516
1,easy,55,9,1,718.916
1,easy,55,10,0,326.375
1,easy,56,1,0,676.541
1,easy,56,2,1,222.451
1,easy,56,3,1,246.289
1,easy,56,4,1,224.184
1,easy,56,5,0,399.46
1,easy,56,6,0,392.857
1,easy,56,7,1,435.843
1,easy,56,8,0,307.259
1,easy,56,9,1,576.338
1,easy,56,10,1,264.288
1,easy,57,1,1,601.546
1,easy,57,2,0,206.817
1,easy,57,3,1,328.815
1,easy,57,4,0,247.717
1,easy,57,5,1,280.175
1,easy,57,6,0,358.185
1,easy,57,7,0,649.467
1,easy,57,8,0,290.175
1,easy,57,9,1,812.4
1,easy,57,10,0,393.76
1,easy,58,1,1,605.076
1,easy,58,2,0,252.731
1,easy,58,3,0,367.071
1,easy,58,4,1,194.717
1,easy,58,5,1,272.575
1,easy,58,6,0,332.165
1,easy,58,7,1,576.065
1,easy,58,8,0,377.528
1,easy,58,9,0,873.276
1,easy,58,10,1,298.018
1,easy,59,1,0,713.586
1,easy,59,2,1,156.694
1,easy,59,3,0,332.389
1,easy,59,4,1,186.705
1,easy,59,5,0,298.58
1,easy,59,6,1,278.176
1,easy,59,7,1,536.335
1,easy,59,8,0,345.549
1,easy,59,9,1,753.727
1,easy,59,10,0,292.341
1,easy,60,1,1,615.615
1,easy,60,2,0,278.174
1,easy,60,3,0,369.882
1,easy,60,4,1,202.904
1,easy,60,5,0,335.359
1,easy,60,6,0,415.991
1,easy,60,7,1,500.103
1,easy,60,8,0,303.232
1,easy,60,9,0,715.063
1,easy,60,10,1,257.783
1,easy,61,1,1,491.664
1,easy,61,2,1,179.436
1,easy,61,3,0,322.744
1,easy,61,4,0,241.504
1,easy,61,5,0,318.401
1,easy,61,6,0,335.22
1,easy,61,7,1,600.536
1,easy,61,8,0,333.603
1,easy,61,9,0,852.366
1,easy,61,10,0,372.18
1,easy,62,1,1,615.259
1,easy,62,2,1,187.713
1,easy,62,3,0,401.457
1,easy,62,4,0,269.681
1,easy,62,5,0,324.297
1,easy,62,6,0,400.276
1,easy,62,7,1,548.61
1,easy,62,8,0,301.374
1,easy,62,9,1,724.199
1,easy,62,10,0,409.819
1,easy,63,1,1,606.138
1,easy,63,2,0,240.799
1,easy,63,3,0,386.25
1,easy,63,4,0,215.953
1,easy,63,5,0,297.311
1,easy,63,6,1,298.74
1,easy,63,7,1,529.441
1,easy,63,8,0,317.692
1,easy,63,9,1,694.165
1,easy,63,10,1,316.673
1,easy,64,1,0,691.855
1,easy,64,2,0,273.275
1,easy,64,3,1,258.586
1,easy,64,4,1,192.373
1,easy,64,5,1,282.686
1,easy,64,6,0,324.238
1,easy,64,7,1,482.191
1,easy,64,8,0,283.819
1,easy,64,9,1,598.108
1,easy,64,10,1,271.165
1,easy,65,1,1,698.884
1,easy,65,2,1,194.839
1,easy,65,3,1,263.132
1,easy,65,4,1,210.055
1,easy,65,5,1,256.016
1,easy,65,6,0,342.09
1,easy,65,7,1,555.947
1,easy,65,8,0,320.574
1,easy,65,9,1,610.481
1,easy,65,10,1,280.907
1,easy,66,1,1,608.462
1,easy,66,2,0,249.76
1,easy,66,3,0,343.038
1,easy,66,4,1,229.659
1,easy,66,5,1,280.701
1,easy,66,6,0,369.775
1,easy,66,7,1,609.418
1,easy,66,8,0,372.094
1,easy,66,9,1,699.723
1,easy,66,10,0,306.788
1,easy,67,1,1,469.893
1,easy,67,2,0,184.678
1,easy,67,3,0,358.566
1,easy,67,4,0,236.629
1,easy,67,5,1,231.49
1,easy,67,6,0,407.405
1,easy,67,7,1,589.316
1,easy,67,8,0,301.099
1,easy,67,9,1,652.677
1,easy,67,10,0,350.834
1,easy,68,1,1,553.091
1,easy,68,2,0,267.619
1,easy,68,3,0,385.517
1,easy,68,4,0,223.786
1,easy,68,5,0,325.59
1,easy,68,6,0,340.297
1,easy,68,7,1,617.2
1,easy,68,8,0,363.457
1,easy,68,9,1,696.123
1,easy,68,10,0,429.279
1,easy,69,1,1,607.067
1,easy,69,2,0,246.801
1,easy,69,3,0,340.804
1,easy,69,4,1,218.035
1,easy,69,5,0,300.963
1,easy,69,6,0,408.443
1,easy,69,7,1,512.982
1,easy,69,8,0,308.334
1,easy,69,9,1,833.186
1,easy,69,10,0,356.873
1,easy,70,1,0,599.936
1,easy,70,2,1,191.898
1,easy,70,3,0,354.08
1,easy,70,4,0,263.286
1,easy,70,5,1,257.074
1,easy,70,6,0,378.458
1,easy,70,7,1,547.694
1,easy,70,8,0,324.443
1,easy,70,9,0,773.953
1,easy,70,10,0,340.6
1,easy,71,1,1,575.662
1,easy,71,2,0,234.189
1,easy,71,3,0,351.519
1,easy,71,4,1,180.615
1,easy,71,5,0,343.837
1,easy,71,6,0,330.005
1,easy,71,7,1,544.531
1,easy,71,8,0,299.34
1,easy,71,9,1,652.178
1,easy,71,10,1,293.873
1,easy,72,1,1,525.313
1,easy,72,2,0,227.391
1,easy,72,3,0,377.185
1,easy,72,4,1,182.706
1,easy,72,5,0,334.654
1,easy,72,6,0,383.485
1,easy,72,7,1,559.971
1,easy,72,8,0,405.334
1,easy,72,9,1,692.426
1,easy,72,10,0,315.478
1,easy,73,1,1,505.188
1,easy,73,2,0,220.43
1,easy,73,3,1,285.895
1,easy,73,4,1,189.335
1,easy,73,5,1,268.031
1,easy,73,6,0,363.911
1,easy,73,7,0,719.897
1,easy,73,8,0,283.359
1,easy,73,9,1,633.09
1,easy,73,10,1,285.56
1,easy,74,1,1,592.467
1,easy,74,2,0,225.879
1,easy,74,3,0,315.938
1,easy,74,4,1,190.974
1,easy,74,5,1,323.527
1,easy,74,6,1,294.138
1,easy,74,7,1,539.888
1,easy,74,8,0,343.438
1,easy,74,9,1,709.32
1,easy,74,10,0,333.926
1,easy,75,1,0,628.878
1,easy,75,2,0,271.471
1,easy,75,3,1,306.084
1,easy,75,4,1,210.232
1,easy,75,5,1,269.624
1,easy,75,6,0,386.615
1,easy,75,7,0,583.847
1,easy,75,8,0,371.273
1,easy,75,9,0,757.262
1,easy,75,10,1,260.191
1,easy,76,1,1,620.785
1,easy,76,2,0,227.244
1,easy,76,3,0,392.185
1,easy,76,4,1,220.267
1,easy,76,5,1,318.962
1,easy,76,6,0,349.082
1,easy,76,7,1,547.06
1,easy,76,8,0,332.973
1,easy,76,9,1,635.299
1,easy,76,10,0,384.061
1,easy,77,1,1,601.926
1,easy,77,2,0,234.436
1,easy,77,3,1,290.336
1,easy,77,4,0,279.313
1,easy,77,5,1,250.419
1,easy,77,6,0,330.112
1,easy,77,7,1,679.484
1,easy,77,8,0,318.47
1,easy,77,9,1,642.705
1,easy,77,10,0,353.114
1,easy,78,1,0,711.103
1,easy,78,2,0,220.517
1,easy,78,3,0,385.089
1,easy,78,4,0,252.37
1,easy,78,5,1,275.705
1,easy,78,6,0,304.694
1,easy,78,7,1,554.618
1,easy,78,8,0,349.262
1,easy,78,9,1,605.516
1,easy,78,10,0,382.232
1,easy,79,1,1,624.381
1,easy,79,2,0,209.36
1,easy,79,3,1,347.742
1,easy,79,4,1,200.06
1,easy,79,5,0,332.73
1,easy,79,6,0,388.921
1,easy,79,7,1,428.382
1,easy,79,8,0,383.896
1,easy,79,9,0,769.973
1,easy,79,10,0,369.315
1,easy,80,1,1,549.472
1,easy,80,2,0,238.241
1,easy,80,3,0,357.912
1,easy,80,4,1,174.444
1,easy,80,5,1,270.892
1,easy,80,6,0,406.232
1,easy,80,7,1,576.247
1,easy,80,8,1,271.448
1,easy,80,9,1,686.128
1,easy,80,10,0,332.178
1,easy,81,1,1,603.948
1,easy,81,2,0,267.671
1,easy,81,3,1,252.31
1,easy,81,4,0,240.218
1,easy,81,5,0,331.665
1,easy,81,6,0,416.665
1,easy,81,7,1,529.855
1,easy,81,8,0,333.427
1,easy,81,9,1,779.984
1,easy,81,10,1,261.07
1,easy,82,1,1,600.555
1,easy,82,2,0,282.632
1,easy,82,3,0,359.323
1,easy,82,4,0,263.022
1,easy,82,5,1,250.029
1,easy,82,6,0,415.411
1,easy,82,7,1,691.7
1,easy,82,8,0,340.707
1,easy,82,9,1,648.732
1,easy,82,10,0,444.186
1,easy,83,1,1,576.732
1,easy,83,2,1,207.226
1,easy,83,3,0,372.076
1,easy,83,4,1,209.291
1,easy,83,5,1,281.526
1,easy,83,6,1,280.996
1,easy,83,7,1,624.807
1,easy,83,8,0,328.063
1,easy,83,9,1,709.984
1,easy,83,10,1,318.62
1,easy,84,1,1,511.287
1,easy,84,2,1,195.071
1,easy,84,3,0,326.586
1,easy,84,4,1,236.381
1,easy,84,5,1,280.228
1,easy,84,6,0,346.6
1,easy,84,7,0,716.667
1,easy,84,8,0,287.135
1,easy,84,9,1,546.889
1,easy,84,10,1,298.225
1,easy,85,1,1,620.373
1,easy,85,2,1,186.614
1,easy,85,3,0,347.752
1,easy,85,4,0,237.32
1,easy,85,5,0,346.208
1,easy,85,6,1,291.443
1,easy,85,7,1,584.796
1,easy,85,8,0,325.619
1,easy,85,9,0,738.85
1,easy,85,10,0,351.192
1,easy,86,1,1,581.858
1,easy,86,2,0,227.751
1,easy,86,3,0,369.257
1,easy,86,4,0,239.138
1,easy,86,5,0,279.556
1,easy,86,6,1,264.814
1,easy,86,7,1,448.672
1,easy,86,8,0,324.285
1,easy,86,9,1,670.322
1,easy,86,10,0,329.555
1,easy,87,1,1,711.822
1,easy,87,2,0,216.422
1,easy,87,3,0,350.247
1,easy,87,4,0,266.036
1,easy,87,5,1,252.897
1,easy,87,6,0,374.622
1,easy,87,7,1,478.754
1,easy,87,8,0,326.654
1,easy,87,9,1,655.302
1,easy,87,10,1,340.86
1,easy,88,1,1,529.455
1,easy,88,2,1,162.775
1,easy,88,3,1,243.465
1,easy,88,4,1,209.619
1,easy,88,5,0,372.714
1,easy,88,6,0,327.625
1,easy,88,7,1,480.71
1,easy,88,8,0,380.91
1,easy,88,9,1,739.015
1,easy,88,10,1,261.195
1,easy,89,1,0,734.469
1,easy,89,2,0,247.04
1,easy,89,3,0,303.009
1,easy,89,4,1,187.808
1,easy,89,5,1,275.5
1,easy,89,6,0,392.456
1,easy,89,7,0,672.146
1,easy,89,8,0,290.267
1,easy,89,9,1,551.348
1,easy,89,10,0,316.581
1,easy,90,1,1,568.614
1,easy,90,2,0,223.03
1,easy,90,3,1,243.631
1,easy,90,4,0,236.499
1,easy,90,5,0,309.864
1,easy,90,6,1,319.259
1,easy,90,7,0,724.82
1,easy,90,8,0,296.395
1,easy,90,9,1,609.545
1,easy,90,10,1,306.439
1,easy,91,1,1,515.538
1,easy,91,2,0,241.128
1,easy,91,3,1,264.055
1,easy,91,4,0,280.016
1,easy,91,5,1,292.044
1,easy,91,6,0,367.445
1,easy,91,7,0,590.633
1,easy,91,8,0,334.62
1,easy,91,9,0,818.519
1,easy,91,10,0,329.629
1,easy,92,1,1,523.91
1,easy,92,2,0,267.418
1,easy,92,3,1,277.371
1,easy,92,4,0,256.434
1,easy,92,5,0,326.919
1,easy,92,6,1,323.636
1,easy,92,7,0,621.83
1,easy,92,8,0,420.187
1,easy,92,9,1,652.551
1,easy,92,10,0,333.754
1,easy,93,1,1,554.578
1,easy,93,2,1,239.81
1,easy,93,3,1,309.376
1,easy,93,4,1,215.785
1,easy,93,5,1,263.064
1,easy,93,6,0,390.125
1,easy,93,7,1,510.661
1,easy,93,8,0,317.476
1,easy,93,9,1,692.209
1,easy,93,10,0,348.304
1,easy,94,1,0,702.577
